"daily"
Date,Crop,TraDef,Tra,NDef,HeatRed,FrostRed,OxRed,Stage,TempSum,VernF,DaylF,IncRoot,IncLeaf,IncShoot,IncFruit,RelDev,LT50,AbBiom,OrgBiom/Root,OrgBiom/Leaf,OrgBiom/Shoot,OrgBiom/Fruit,Yield,GroPhot,NetPhot,MaintR,GrowthR,StomRes,Height,LAI,RootDep,EffRootDep,TotBiomN,AbBiomN,SumNUp,ActNup,PotNup,NFixed,Target,CritN,AbBiomNc,YieldNc,Protein,NPP,NPP/Root,NPP/Leaf,NPP/Shoot,NPP/Fruit,GPP,Ra,Ra/Root,Ra/Leaf,Ra/Shoot,Ra/Fruit,Mois_1,Mois_2,Mois_3,Mois_4,Mois_5,Mois_6,Mois_7,Mois_8,Mois_9,Mois_10,Mois_11,Mois_12,Mois_13,Mois_14,Mois_15,Mois_16,Mois_17,Mois_18,Mois_19,Mois_20,Precip,Irrig,Infilt,Surface,RunOff,SnowD,FrostD,ThawD,PASW_1,PASW_2,PASW_3,PASW_4,PASW_5,PASW_6,PASW_7,PASW_8,PASW_9,PASW_10,PASW_11,PASW_12,PASW_13,PASW_14,PASW_15,PASW_16,PASW_17,PASW_18,PASW_19,PASW_20,SurfTemp,STemp_1,STemp_2,STemp_3,STemp_4,STemp_5,Act_Ev,Act_ET,ET0,Kc,AtmCO2,Groundw,Recharge,NLeach,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,NO3_8,NO3_9,NO3_10,NO3_11,NO3_12,NO3_13,NO3_14,NO3_15,NO3_16,NO3_17,NO3_18,NO3_19,NO3_20,Carb,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NH4_8,NH4_9,NH4_10,NH4_11,NH4_12,NH4_13,NH4_14,NH4_15,NH4_16,NH4_17,NH4_18,NH4_19,NH4_20,NO2_1,NO2_2,NO2_3,NO2_4,SOC_1,SOC_2,SOC_3,SOC_4,SOC_5,SOC_6,SOC-X-Y,SOC-X-Y,AOMf_1,AOMs_1,SMBf_1,SMBs_1,SOMf_1,SOMs_1,CBal_1,Nmin_1,Nmin_2,Nmin_3,NetNmin,Denit,N2O,SoilpH,NEP,NEE,Rh,Tmin,Tavg,Tmax,Wind,Globrad,Relhumid,Sunhours,NFert
[],[],[0;1],[mm],[0;1],[0;1],[0;1],[0;1],[1-6/7],[�Cd],[0;1],[0;1],[kg ha-1],[kg ha-1],[kg ha-1],[kg ha-1],[0;1],[°C],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[kgCH2O ha-1],[kgCH2O ha-1],[kgCH2O ha-1],[kgCH2O ha-1],[s m-1],[m],[m2 m-2],[layer#],[m],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kg kg-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[kgC ha-1],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[mm],[mm],[mm],[mm],[mm],[mm],[m],[m],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[�C],[�C],[�C],[�C],[�C],[�C],[mm],[mm],[mm],[],[ppm],[m],[mm],[kgN ha-1],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgN m-3],[kgC kg-1],[kgC kg-1],[kgC kg-1],[kgC kg-1],[kgC kg-1],[kgC kg-1],[gC m-2],[gC m-2],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgC m-3],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[kgN ha-1],[],[kgC ha-1],[kgC ha-],[kgC ha-],[],[],[],[],[],[],[],[kgN ha-1]
2016-01-01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.44,0,1.6,0,0,16.4,0.1,0,0.166,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.6,7.9,9.7,9.9,9.9,9.9,0,0,0.1,0.8,401,19.28,0,0,0.005117,0.005118,0.005122,0.005147,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000545,0.000554,0.000555,0.000545,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000927,0.000916,0.000914,0.000896,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17140.8,39755.6,0,0,0.0052,0.3158,26.5636,25.9479,-0.0015,0.074543,0.088679,0.090917,0.34196,0,0.00579,6.2,-6.35057,6.35057,6.35057,-8.87,-5.77,-3.02,3.91,2.7,93.97,0,0
2016-01-02,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,6.44,0,7.3,0,0,89.2,0.1,0,0.24,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-5.8,5.4,9,9.8,9.9,9.9,0,0,0.1,0.8,401,19.29,0,0,0.00521,0.005215,0.005233,0.005277,0.005001,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000577,0.000601,0.000606,0.000586,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000877,0.000849,0.000843,0.000811,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17140.3,39755,0,0,0.0051,0.3164,26.562,25.9479,-0.0011,0.056033,0.082975,0.089702,0.31623,0,0.0048,6.2,-5.83424,5.83424,5.83424,-8.93,-5.79,-3.01,3.92,2.75,94.15,0,0
2016-01-03,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.62,0,1.8,0,0,106.5,0.1,0,0.258,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.1,4.6,8.5,9.6,9.8,9.9,0,0,0.1,0.8,401,19.31,0,0,0.005287,0.005297,0.005332,0.005394,0.005002,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000607,0.000643,0.000653,0.000624,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000841,0.000796,0.000784,0.000742,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17139.9,39754.4,0,0,0.0051,0.3168,26.5605,25.9479,-0.001,0.049391,0.077682,0.08797,0.30201,0,0.0042,6.2,-5.55114,5.55114,5.55114,-9.23,-5.95,-3.11,3.92,2.76,93.6,0,0
2016-01-04,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.39,0,1.6,0,0,121,0.1,0,0.274,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.1,4,7.9,9.4,9.7,9.8,0,0,0.1,0.8,401,19.32,0,0,0.005353,0.005367,0.005423,0.0055,0.005004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000634,0.000681,0.000696,0.000658,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000814,0.000753,0.000736,0.000686,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17139.4,39753.9,0,0,0.0051,0.3173,26.5593,25.9479,-0.0009,0.044105,0.072861,0.085907,0.28905,0,0.00372,6.2,-5.2948,5.2948,5.2948,-9.68,-6.43,-3.55,3.88,2.72,94.01,0,0
2016-01-05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,6.51,0,7.4,0,0,191.7,0.1,0,0.348,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-0.1,3.6,7.5,9.1,9.6,9.8,0,0,0.1,0.8,401,19.34,0,0,0.005418,0.005419,0.005506,0.005596,0.005005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000661,0.000715,0.000736,0.00069,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000792,0.000718,0.000697,0.000641,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17139.1,39753.4,0,0,0.005,0.3177,26.558,25.9479,-0.0009,0.043046,0.068512,0.083648,0.28039,0.00328,0.00333,6.2,-5.12616,5.12616,5.12616,-10.24,-6.93,-3.91,3.74,2.63,94.15,0,0
2016-01-06,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.15,0,1.3,0,0,202.4,0.1,0,0.361,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,3.2,7,8.9,9.5,9.7,0,0,0.1,0.8,401,19.36,0,0,0.005476,0.005463,0.005582,0.005684,0.005007,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000687,0.000746,0.000772,0.00072,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000776,0.00069,0.000666,0.000605,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17138.7,39752.9,0,0,0.005,0.3181,26.5569,25.9479,-0.0008,0.038668,0.06461,0.081294,0.2686,0.00322,0.00302,6.2,-4.89543,4.89543,4.89543,-10.68,-7.29,-4.22,3.66,2.99,93.56,0,0
2016-01-07,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.3,0,1.5,0,0,214.6,0.1,0,0.376,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,2.9,6.7,8.6,9.3,9.7,0,0,0.1,0.8,401,19.37,0,0,0.005528,0.005499,0.005653,0.005766,0.00501,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000712,0.000774,0.000806,0.000747,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000765,0.000666,0.00064,0.000577,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17138.3,39752.4,0,0,0.005,0.3184,26.5559,25.9479,-0.0007,0.035121,0.061113,0.078913,0.25788,0.00423,0.00276,6.2,-4.68718,4.68718,4.68718,-10.88,-7.55,-4.54,3.65,3.18,93.52,0,0
2016-01-08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.32,0,0.9,0.7,0,226.7,0.1,0,0.385,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,2.7,6.3,8.3,9.2,9.6,0,0,0.1,0.8,401,19.39,0,0,0.005576,0.005529,0.005718,0.005841,0.005012,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000737,0.000799,0.000837,0.000772,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000757,0.000647,0.00062,0.000555,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17138,39752,0,0,0.0049,0.3187,26.5549,25.9479,-0.0006,0.032209,0.057974,0.076553,0.24808,0.00363,0.00254,6.2,-4.49802,4.49802,4.49802,-11.19,-7.87,-4.75,3.62,3.15,93.93,0,0
2016-01-09,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.4,0,0.5,1.7,0,239.4,0.1,0,0.39,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,2.5,6,8.1,9,9.5,0,0,0.1,0.8,401,19.4,0,0,0.005621,0.005554,0.00578,0.005913,0.005014,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0,0.000761,0.000823,0.000866,0.000795,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.000752,0.00063,0.000603,0.000537,0.0507,0.0507,0.0507,0.0328,0.028,0.023,17137.7,39751.6,0,0,0.0049,0.319,26.5541,25.9479,-0.0006,0.029787,0.055151,0.074245,0.23907,0.00266,0.00236,6.2,-4.32521,4.32521,4.32521,-11.46,-8.09,-4.92,3.63,3.2,94.22,0,0
